elapsed_s,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,distance,alpha_deg,alpha_rad,dist_error,r_d,r_alpha,reward,action
7.96,3.9128,-0.0001,-0.0042,1.7998,0.0,3.1416,2.113,179.997,3.1415,0.613,0.4717,-1.0,-0.5283,right
8.262,4.025,-0.0026,-0.0462,1.6798,0.0,3.1416,2.3452,179.937,3.1405,0.8452,0.4137,-1.0,-0.5863,right
8.561,4.1295,-0.0119,-0.1332,1.5596,0.0,3.1416,2.5699,179.735,3.137,1.0699,0.3575,-1.0,-0.6425,fast_right
8.926,4.2364,-0.0338,-0.265,1.4398,0.0,3.1416,2.7969,179.309,3.1295,1.2969,0.3008,-1.0,-0.6992,right
9.081,4.2364,-0.0338,-0.265,1.4,0.0,3.1416,2.8367,179.318,3.1297,1.3367,0.2908,-1.0,-0.7092,right
9.362,4.4173,-0.108,-0.515,1.2397,0.0,3.1416,3.1794,178.053,3.1076,1.6794,0.2052,-1.0,-0.7948,right
9.651,4.5041,-0.1668,-0.665,1.1199,0.0,3.1416,3.3883,177.178,3.0923,1.8883,0.1529,-1.0,-0.8471,fast_right
9.851,4.5572,-0.2134,-0.765,1.0399,0.0,3.1416,3.5237,176.528,3.081,2.0237,0.1191,-1.0,-0.8809,fast_right
10.061,4.613,-0.2734,-0.865,0.9597,0.0,3.1416,3.6635,175.721,3.0669,2.1635,0.0841,-1.0,-0.9159,right
10.362,4.6845,-0.3719,-1.015,0.8397,0.0,3.1416,3.8627,174.476,3.0452,2.3627,0.0343,-1.0,-0.9657,right
10.562,4.7181,-0.4332,-1.115,0.7597,0.0,3.1416,3.982,173.754,3.0326,2.482,0.0045,-1.0,-0.9955,fast_right
10.863,4.7579,-0.5348,-1.265,0.6398,0.0,3.1416,4.1527,172.601,3.0124,2.6527,0.0,-1.0,-1.0,right
11.162,4.7854,-0.6534,-1.415,0.5197,0.0,3.1416,4.3154,171.292,2.9896,2.8154,0.0,-1.0,-1.0,fast_right
11.452,4.7934,-0.7622,-1.565,0.3999,0.0,3.1416,4.4591,170.159,2.9698,2.9591,0.0,-1.0,-1.0,fast_right
11.661,4.7893,-0.846,-1.665,0.3198,0.0,3.1416,4.5489,169.281,2.9545,3.0489,0.0,-1.0,-1.0,fast_right
11.954,4.7675,-0.97,-1.815,0.1999,0.0,3.1416,4.6694,168.01,2.9323,3.1694,0.0,-1.0,-1.0,fast_right
12.261,4.7274,-1.0893,-1.965,0.0797,0.0,3.1416,4.7736,166.809,2.9114,3.2736,0.0,-1.0,-1.0,fast_right
12.553,4.6699,-1.2013,-2.115,0.0401,0.0,0.0,4.7831,14.546,0.2539,3.2831,0.0,0.4182,0.4182,fast_right
12.761,4.6225,-1.2707,-2.215,0.1203,0.0,0.0,4.6781,15.76,0.2751,3.1781,0.0,0.3696,0.3696,right
13.06,4.5421,-1.3619,-2.365,0.2402,0.0,0.0,4.5123,17.567,0.3066,3.0123,0.0,0.2973,0.2973,fast_right
13.362,4.4583,-1.4318,-2.515,0.3603,0.0,0.0,4.3409,19.259,0.3361,2.8409,0.0,0.2297,0.2297,right
