elapsed_s,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,distance,alpha_deg,alpha_rad,dist_error,r_d,r_alpha,reward,action
20.952,2.6913,0.9375,2.3628,2.0,0.0,0.0,1.1648,53.596,0.9354,0.3352,0.6648,-1.0,-0.3352,fast_right
21.245,2.6091,1.0328,2.2128,2.0,0.0,0.0,1.199,59.472,1.038,0.301,0.699,-1.0,-0.301,fast_right
21.555,2.542,1.1393,2.0628,2.0,0.0,0.0,1.2617,64.56,1.1268,0.2383,0.7617,-1.0,-0.2383,right
21.844,2.4931,1.2508,1.9128,2.0,0.0,0.0,1.3444,68.486,1.1953,0.1556,0.8444,-1.0,-0.1556,right
22.155,2.4659,1.3521,1.7628,2.0,0.0,0.0,1.4301,70.988,1.239,0.0699,0.9301,-1.0,-0.0699,right
22.444,2.4542,1.4563,1.6128,2.0,0.0,0.0,1.5255,72.68,1.2685,0.0255,0.9745,-1.0,-0.0255,right
22.744,2.4581,1.5611,1.4628,2.0,0.0,0.0,1.627,73.645,1.2853,0.127,0.873,-1.0,-0.127,right
22.945,2.4695,1.6302,1.3628,2.0,0.0,0.0,1.6965,73.933,1.2904,0.1965,0.8035,-1.0,-0.1965,right
23.144,2.4877,1.6978,1.2628,2.0,0.0,0.0,1.7664,73.973,1.2911,0.2664,0.7336,-1.0,-0.2664,right
23.344,2.5125,1.7632,1.1628,2.0,0.0,0.0,1.8362,73.791,1.2879,0.3362,0.6638,-1.0,-0.3362,right
23.644,2.5617,1.8558,1.0128,2.0,0.0,0.0,1.939,73.16,1.2769,0.439,0.561,-1.0,-0.439,right
23.844,2.602,1.9131,0.9128,2.0,0.0,0.0,2.0055,72.533,1.2659,0.5055,0.4986,-1.0,-0.5014,right
24.144,2.6726,1.9907,0.7628,2.0,0.0,0.0,2.1012,71.332,1.245,0.6012,0.4747,-1.0,-0.5253,right
24.344,2.7257,2.0362,0.6628,2.0,0.0,0.0,2.1616,70.383,1.2284,0.6616,0.4596,-1.0,-0.5404,right
24.544,2.7832,2.0761,0.5628,2.0,0.0,0.0,2.2189,69.332,1.2101,0.7189,0.4453,-1.0,-0.5547,right
24.856,2.8761,2.1248,0.4128,2.0,0.0,0.0,2.2983,67.593,1.1797,0.7983,0.4254,-1.0,-0.5746,right
25.146,2.9752,2.1591,0.2628,2.0,0.0,0.0,2.3691,65.692,1.1465,0.8691,0.4077,-1.0,-0.5923,right
